code,name,gender,country_code,nationality,disciplines,birth_date
1970765,DRADRIGA Tom,Male,UGA,Uganda,['Athletics'],17.06.1996
1970792,de JONG Worthy,Male,NED,Netherlands,['3x3 Basketball'],14.03.1988
1970796,van der HORST Dimeo,Male,NED,Netherlands,['3x3 Basketball'],23.06.1991
1970797,DRIESSEN Jan,Male,NED,Netherlands,['3x3 Basketball'],4.12.1996
1970800,SLAGTER Arvin,Male,NED,Netherlands,['3x3 Basketball'],19.10.1985
1970827,CHEPTEGEI Joshua,Male,UGA,Uganda,['Athletics'],12.09.1996
1970870,van EIJKEN Ming,Female,FRA,France,['Artistic Gymnastics'],3.04.2008
1970891,BRASH Scott,Male,GBR,Great Britain,['Equestrian'],23.11.1985
1970892,CANTER Rosalind,Female,GBR,Great Britain,['Equestrian'],13.01.1986
1970896,CHARLES Harry,Male,GBR,Great Britain,['Equestrian'],15.07.1999
1970898,COLLETT Laura,Female,GBR,Great Britain,['Equestrian'],31.08.1989
1970905,FRY Charlotte,Female,GBR,Great Britain,['Equestrian'],11.02.1996
1970907,GOULD Andrew,Male,GBR,Great Britain,['Equestrian'],21.05.1980
1970910,HESTER Carl,Male,GBR,Great Britain,['Equestrian'],29.06.1967
1970912,INGHAM Yasmin,Female,GBR,Great Britain,['Equestrian'],13.05.1997
1970917,McEWEN Tom,Male,GBR,Great Britain,['Equestrian'],10.05.1991
1970921,MOODY Becky,Female,GBR,Great Britain,['Equestrian'],16.03.1980
1970925,STOCKDALE Joseph,Male,GBR,Great Britain,['Equestrian'],18.10.1999
1971188,ABIODUN Deborah,Female,NGR,Nigeria,['Football'],2.11.2003
1971368,ANTONIOU Nikolas,Male,CYP,Cyprus,['Swimming'],20.01.2004
1971438,ANTONIOU Kalia,Female,CYP,Cyprus,['Swimming'],6.04.2000
1971542,AJIBADE Rasheedat,Female,NGR,Nigeria,['Football'],8.12.1999
1971668,AZCONA Edison,Male,DOM,Dominican Republic,['Football'],21.11.2003
1971678,SYSOJEVA Sandra,Female,POL,Poland,['Equestrian'],8.11.1983
1971686,CHEMUTAI Peruth,Female,UGA,Uganda,['Athletics'],10.07.1999
