start_date;end_date;status;discipline_code;event_name;phase;gender;venue;event_code;url;schedule_code
1.08.2024 16:50;1.08.2024 17:01;FINISHED;BOX;Women's 66kg;Women's 66kg - Prelims - Round of 16;W;North Paris Arena;91;/en/paris-2024/results/boxing/women-s-66kg/8fnl000600--;2015
1.08.2024 16:54;1.08.2024 17:00;FINISHED;JUD;Men -100 kg;Men -100 kg Contests for Bronze Medals;M;Champ-de-Mars Arena;179;/en/paris-2024/results/judo/men--100-kg/repf000200--;2016
1.08.2024 17:00;1.08.2024 17:50;FINISHED;VBV;Men;Men's Preliminary - Pool A - Matches;M;Eiffel Tower Stadium;78;/en/paris-2024/results/beach-volleyball/men/gpa-000600--;2017
1.08.2024 17:00;1.08.2024 18:30;FINISHED;HOC;Women;Women's Pool B;W;Yves-du-Manoir Stadium;166;/en/paris-2024/results/hockey/women/gpb-001000--;2018
1.08.2024 17:00;1.08.2024 17:06;FINISHED;JUD;Men -100 kg;Men -100 kg Final;M;Champ-de-Mars Arena;179;/en/paris-2024/results/judo/men--100-kg/fnl-000100--;2019
1.08.2024 17:00;1.08.2024 18:00;FINISHED;TTE;Men's Singles;Men's Singles Quarterfinals;M;South Paris Arena 4;274;/en/paris-2024/results/table-tennis/men-s-singles/qfnl000400--;2020
1.08.2024 17:00;1.08.2024 19:15;FINISHED;VVO;Women;Women's Preliminary Round - Pool C;W;South Paris Arena 1;298;/en/paris-2024/results/volleyball/women/gpc-000400--;2021
1.08.2024 17:01;1.08.2024 17:14;FINISHED;ARC;Men's Individual;Men's Individual 1/32 Elimination Round;M;Invalides;0;/en/paris-2024/results/archery/men-s-individual/r64-003000--;2022
1.08.2024 17:06;1.08.2024 17:17;FINISHED;BOX;Women's 54kg;Women's 54kg - Quarterfinals;W;North Paris Arena;88;/en/paris-2024/results/boxing/women-s-54kg/qfnl000200--;2023
1.08.2024 17:06;1.08.2024 17:12;FINISHED;JUD;Women -78 kg;Women -78 kg Contests for Bronze Medals;W;Champ-de-Mars Arena;172;/en/paris-2024/results/judo/women--78-kg/repf000100--;2024
1.08.2024 17:12;1.08.2024 17:18;FINISHED;JUD;Women -78 kg;Women -78 kg Contests for Bronze Medals;W;Champ-de-Mars Arena;172;/en/paris-2024/results/judo/women--78-kg/repf000200--;2025
1.08.2024 17:14;1.08.2024 17:27;FINISHED;ARC;Women's Individual;Women's Individual 1/32 Elimination Rnd;W;Invalides;1;/en/paris-2024/results/archery/women-s-individual/r64-001300--;2026
1.08.2024 17:15;1.08.2024 19:00;FINISHED;BKB;Women;Women's Group Phase - Group B;W;Pierre Mauroy Stadium;75;/en/paris-2024/results/basketball/women/gpb-000400--;2027
1.08.2024 17:18;1.08.2024 17:24;FINISHED;JUD;Women -78 kg;Women -78 kg Final;W;Champ-de-Mars Arena;172;/en/paris-2024/results/judo/women--78-kg/fnl-000100--;2028
1.08.2024 17:22;1.08.2024 17:33;FINISHED;BOX;Women's 54kg;Women's 54kg - Quarterfinals;W;North Paris Arena;88;/en/paris-2024/results/boxing/women-s-54kg/qfnl000300--;2029
1.08.2024 17:27;1.08.2024 17:40;FINISHED;ARC;Women's Individual;Women's Individual 1/32 Elimination Rnd;W;Invalides;1;/en/paris-2024/results/archery/women-s-individual/r64-001400--;2030
1.08.2024 17:30;1.08.2024 18:14;FINISHED;CSL;Men's Kayak Single;Men's Kayak Single Final;M;Nautical St - White water;95;/en/paris-2024/results/canoe-slalom/men-s-kayak-single/fnl-000100--;2031
1.08.2024 17:30;1.08.2024 19:00;FINISHED;HOC;Women;Women's Pool B;W;Yves-du-Manoir Stadium;166;/en/paris-2024/results/hockey/women/gpb-001100--;2032
1.08.2024 17:38;1.08.2024 17:49;FINISHED;BOX;Men's 63.5kg;Men's 63.5kg - Quarterfinals;M;North Paris Arena;82;/en/paris-2024/results/boxing/men-s-63-5kg/qfnl000200--;2033
1.08.2024 17:38;1.08.2024 17:59;CANCELLED;SAL;Women's Windsurfing;Women's Windsurfing Opening Series;W;Marseille Marina;208;;2034
1.08.2024 17:38;1.08.2024 17:59;CANCELLED;SAL;Women's Windsurfing;Women's Windsurfing Opening Series;W;Marseille Marina;208;;2035
1.08.2024 17:40;1.08.2024 17:53;FINISHED;ARC;Men's Individual;Men's Individual 1/16 Elimination Round;M;Invalides;0;/en/paris-2024/results/archery/men-s-individual/r32-001500--;2036
1.08.2024 17:53;1.08.2024 18:06;FINISHED;ARC;Women's Individual;Women's Individual 1/16 Elimination Rnd;W;Invalides;1;/en/paris-2024/results/archery/women-s-individual/r32-000700--;2037
1.08.2024 17:54;1.08.2024 18:05;FINISHED;BOX;Men's 92kg;Men's 92kg - Quarterfinals;M;North Paris Arena;85;/en/paris-2024/results/boxing/men-s-92kg/qfnl000200--;2038
1.08.2024 18:00;1.08.2024 18:25;FINISHED;BK3;Women;Women's Pool Round;W;La Concorde 1;77;/en/paris-2024/results/3x3-basketball/women/gpa-001300--;2039
1.08.2024 18:06;1.08.2024 18:19;FINISHED;ARC;Men's Individual;Men's Individual 1/32 Elimination Round;M;Invalides;0;/en/paris-2024/results/archery/men-s-individual/r64-002300--;2040
1.08.2024 18:09;1.08.2024 18:30;CANCELLED;SAL;Women's Windsurfing;Women's Windsurfing Opening Series;W;Marseille Marina;208;;2041
1.08.2024 18:15;1.08.2024 20:10;FINISHED;GAR;Women's All-Around;Women's All-Around Final;W;Bercy Arena;14;/en/paris-2024/results/artistic-gymnastics/women-s-all-around/fnl-000001--;2042
1.08.2024 18:19;1.08.2024 18:32;FINISHED;ARC;Men's Individual;Men's Individual 1/32 Elimination Round;M;Invalides;0;/en/paris-2024/results/archery/men-s-individual/r64-002400--;2043
1.08.2024 18:28;1.08.2024 18:49;CANCELLED;SAL;Men's Windsurfing;Men's Windsurfing Opening Series;M;Marseille Marina;204;;2044
1.08.2024 18:28;1.08.2024 18:49;CANCELLED;SAL;Men's Windsurfing;Men's Windsurfing Opening Series;M;Marseille Marina;204;;2045
1.08.2024 18:30;1.08.2024 18:55;FINISHED;BK3;Women;Women's Pool Round;W;La Concorde 1;77;/en/paris-2024/results/3x3-basketball/women/gpa-001400--;2046
1.08.2024 18:30;1.08.2024 19:20;FINISHED;BDM;Women's Singles;Women's Singles Round of 16;W;La Chapelle Arena;70;/en/paris-2024/results/badminton/women-s-singles/8fnl000200--;2047
1.08.2024 18:30;1.08.2024 19:20;FINISHED;BDM;Women's Singles;Women's Singles Round of 16;W;La Chapelle Arena;70;/en/paris-2024/results/badminton/women-s-singles/8fnl000600--;2048
