athlete_code,name,gender,country_code,nationality,birth_date
1537191,PULIDO ORTIZ Celia,F,MEX,Mexico,2003-01-01
1537203,HYDE Jaheel,M,JAM,Jamaica,1997-02-02
1537204,IGA Jorge,M,MEX,Mexico,1997-01-12
1537209,HEIN Agostina,F,ARG,Argentina,2008-04-24
1537256,SASSER Mathlynn,F,MHL,Marshall Islands,1996-12-25
1537272,HEPLER Kayla,F,MHL,Marshall Islands,2002-03-22
1537273,KINONO Philli,M,MHL,Marshall Islands,1997-12-10
1537276,GARRIDO Luis Ramon,M,MEX,Mexico,1996-05-10
1537286,MARTINEZ Paulina,F,MEX,Mexico,1999-04-10
1537287,AWITI ALCARAZ Prisca,F,MEX,Mexico,1996-02-20
1537312,REZAEI Mohammad Nabi,M,IRI,IR Iran,1999-04-10
1537323,MUSTAFA SAADOON,M,IRQ,Iraq,2001-05-25
1537325,ALFRED Julien,F,LCA,Saint Lucia,2001-06-10
1537331,JOSEPH Michael,M,LCA,Saint Lucia,2002-11-01
1537336,YOUSSEF AMYN,M,IRQ,Iraq,2003-08-21
1537345,TSEGAY Gudaf,F,ETH,Ethiopia,1997-01-23
1537349,ALSADEQ Julyana,F,JOR,Jordan,1994-12-09
1537368,TESFAY Fotyen,F,ETH,Ethiopia,1998-02-17
1537375,MOJALLALTOPRAGHGHALE Fatemeh,F,IRI,IR Iran,2002-07-27
1537376,ELSHARABATY Saleh,M,JOR,Jordan,1998-09-12
1537377,AL KHATRI Said,M,OMA,Oman,1985-07-11
1537394,AL ADAWI Issa Samir Hamed,M,OMA,Oman,1999-03-20
1537401,KAREEM Zaid,M,JOR,Jordan,2001-06-19
1537402,SARAVANAN Vishnu,M,IND,India,1999-02-24
1537405,KUMANAN Nethra,F,IND,India,1997-08-21
1537465,SARAVIA Ulises,M,ARG,Argentina,2005-10-27
1537510,BORELLI Florencia,F,ARG,Argentina,1992-10-30
1537518,CASETTA Belen,F,ARG,Argentina,1994-09-26
1537531,GOMEZ Joaquin,M,ARG,Argentina,1996-10-14
1537538,LARREGINA Elian,M,ARG,Argentina,2000-02-20
1537547,SASIA Nazareno,M,ARG,Argentina,2001-01-05
