medal_date,medal_code,country_code,team_gender,discipline,event,code_athlete,code_team
2024-08-10,3,BRA,W,Volleyball,Women,1964180,VVOWTEAM6---BRA01
2024-08-10,3,BRA,W,Volleyball,Women,1964076,VVOWTEAM6---BRA01
2024-08-10,2,BRA,W,Football,Women,1967616,FBLWTEAM11--BRA01
2024-08-10,2,BRA,W,Football,Women,1967594,FBLWTEAM11--BRA01
2024-08-10,2,BRA,W,Football,Women,1967593,FBLWTEAM11--BRA01
2024-08-10,3,BRA,W,Volleyball,Women,1964136,VVOWTEAM6---BRA01
2024-08-03,3,BRA,Mixed,Judo,Mixed Team,1953816,JUDXTEAM6---BRA01
2024-08-10,2,BRA,W,Football,Women,1967599,FBLWTEAM11--BRA01
2024-08-10,2,BRA,W,Football,Women,1967602,FBLWTEAM11--BRA01
2024-08-10,2,BRA,W,Football,Women,1967606,FBLWTEAM11--BRA01
2024-08-10,3,BRA,W,Volleyball,Women,1964183,VVOWTEAM6---BRA01
2024-08-03,3,BRA,Mixed,Judo,Mixed Team,1953840,JUDXTEAM6---BRA01
2024-08-10,2,BRA,W,Football,Women,1967608,FBLWTEAM11--BRA01
2024-08-10,2,BRA,W,Football,Women,1967607,FBLWTEAM11--BRA01
2024-08-10,2,BRA,W,Football,Women,1967612,FBLWTEAM11--BRA01
2024-08-03,3,BRA,Mixed,Judo,Mixed Team,1953832,JUDXTEAM6---BRA01
2024-08-10,2,BRA,W,Football,Women,1967617,FBLWTEAM11--BRA01
2024-08-10,3,BRA,W,Volleyball,Women,1964065,VVOWTEAM6---BRA01
2024-08-10,3,BRA,W,Volleyball,Women,1964167,VVOWTEAM6---BRA01
2024-07-30,3,BRA,W,Artistic Gymnastics,Women's Team,1953630,GARWTEAM----BRA01
2024-08-03,3,BRA,Mixed,Judo,Mixed Team,1953817,JUDXTEAM6---BRA01
2024-08-10,2,BRA,W,Football,Women,1967623,FBLWTEAM11--BRA01
2024-08-03,3,BRA,Mixed,Judo,Mixed Team,1953812,JUDXTEAM6---BRA01
2024-08-10,2,BRA,W,Football,Women,1967625,FBLWTEAM11--BRA01
2024-08-10,3,BRA,W,Volleyball,Women,1964169,VVOWTEAM6---BRA01
2024-07-30,3,BRA,W,Artistic Gymnastics,Women's Team,1953620,GARWTEAM----BRA01
2024-08-03,3,BRA,Mixed,Judo,Mixed Team,1953799,JUDXTEAM6---BRA01
2024-08-10,3,BRA,W,Volleyball,Women,1964140,VVOWTEAM6---BRA01
2024-08-03,3,BRA,Mixed,Judo,Mixed Team,1953836,JUDXTEAM6---BRA01
2024-08-03,3,BRA,Mixed,Judo,Mixed Team,1953835,JUDXTEAM6---BRA01
2024-07-30,3,BRA,W,Artistic Gymnastics,Women's Team,1953626,GARWTEAM----BRA01
2024-08-03,3,BRA,Mixed,Judo,Mixed Team,1953777,JUDXTEAM6---BRA01
2024-08-10,2,BRA,W,Football,Women,1967630,FBLWTEAM11--BRA01
2024-08-10,2,BRA,W,Football,Women,1967626,FBLWTEAM11--BRA01
2024-08-10,2,BRA,W,Football,Women,1967629,FBLWTEAM11--BRA01
2024-08-10,2,BRA,W,Football,Women,1967628,FBLWTEAM11--BRA01
2024-08-10,2,BRA,W,Football,Women,1967635,FBLWTEAM11--BRA01
2024-08-10,2,BRA,W,Football,Women,1967636,FBLWTEAM11--BRA01
2024-08-04,3,ESP,W,Tennis,Women's Doubles,1563687,TENWDOUBLES-ESP01
2024-08-04,3,ESP,W,Tennis,Women's Doubles,1563681,TENWDOUBLES-ESP01
2024-07-30,2,CAN,W,Rugby Sevens,Women,1960762,RU7WTEAM7---CAN01
2024-07-30,2,CAN,W,Rugby Sevens,Women,1960765,RU7WTEAM7---CAN01
2024-08-09,1,CAN,M,Athletics,Men's 4 x 100m Relay,1974065,ATHM4X100M--CAN01
2024-08-09,1,CAN,M,Athletics,Men's 4 x 100m Relay,1974072,ATHM4X100M--CAN01
2024-07-30,2,CAN,W,Rugby Sevens,Women,1960778,RU7WTEAM7---CAN01
2024-07-30,2,CAN,W,Rugby Sevens,Women,1960779,RU7WTEAM7---CAN01
2024-07-30,2,CAN,W,Rugby Sevens,Women,1960781,RU7WTEAM7---CAN01
2024-08-09,1,CAN,M,Athletics,Men's 4 x 100m Relay,1974096,ATHM4X100M--CAN01
2024-08-03,2,CAN,W,Rowing,Women's Eight,1967508,ROWWCOXED8--CAN01
2024-08-03,2,CAN,W,Rowing,Women's Eight,4031142,ROWWCOXED8--CAN01
2024-08-03,2,CAN,W,Rowing,Women's Eight,1967511,ROWWCOXED8--CAN01
2024-07-30,2,CAN,W,Rugby Sevens,Women,1960797,RU7WTEAM7---CAN01
2024-08-03,2,CAN,W,Rowing,Women's Eight,1967514,ROWWCOXED8--CAN01
2024-07-30,2,CAN,W,Rugby Sevens,Women,1960803,RU7WTEAM7---CAN01
2024-08-03,2,CAN,W,Rowing,Women's Eight,1967515,ROWWCOXED8--CAN01
2024-07-30,2,CAN,W,Rugby Sevens,Women,1960812,RU7WTEAM7---CAN01
2024-08-03,2,CAN,W,Rowing,Women's Eight,1967517,ROWWCOXED8--CAN01
2024-07-30,2,CAN,W,Rugby Sevens,Women,1960817,RU7WTEAM7---CAN01
2024-08-09,1,CAN,M,Athletics,Men's 4 x 100m Relay,1974289,ATHM4X100M--CAN01
2024-07-30,2,CAN,W,Rugby Sevens,Women,1960822,RU7WTEAM7---CAN01
2024-08-03,2,CAN,W,Rowing,Women's Eight,1967522,ROWWCOXED8--CAN01
2024-07-30,2,CAN,W,Rugby Sevens,Women,1960826,RU7WTEAM7---CAN01
2024-07-30,2,CAN,W,Rugby Sevens,Women,1960832,RU7WTEAM7---CAN01
2024-08-03,2,CAN,W,Rowing,Women's Eight,1967528,ROWWCOXED8--CAN01
2024-07-30,2,CAN,W,Rugby Sevens,Women,1960834,RU7WTEAM7---CAN01
