medal_date,medal_code,gender,country_code,team_gender,discipline,event,code_athlete,code_team,id
5.08.2024,3,F,USA,W,3x3 Basketball,Women,1954768,BK3WTEAM3---USA01,249
10.08.2024,1,F,USA,W,Athletics,Women's 4 x 400m Relay,4979555,ATHW4X400M--USA01,257
30.07.2024,3,F,USA,W,Rugby Sevens,Women,1950485,RU7WTEAM7---USA01,273
30.07.2024,1,F,USA,W,Artistic Gymnastics,Women's Team,1959819,GARWTEAM----USA01,279
11.08.2024,2,F,USA,W,Volleyball,Women,1917738,VVOWTEAM6---USA01,283
3.08.2024,3,M,USA,M,Rowing,Men's Eight,1944642,ROWMCOXED8--USA01,284
3.08.2024,3,M,USA,M,Rowing,Men's Eight,1944646,ROWMCOXED8--USA01,311
30.07.2024,1,F,USA,W,Artistic Gymnastics,Women's Team,1959825,GARWTEAM----USA01,332
9.08.2024,3,M,USA,M,Volleyball,Men,1917991,VVOMTEAM6---USA01,341
10.08.2024,1,F,USA,W,Football,Women,1943547,FBLWTEAM11--USA01,351
11.08.2024,1,F,USA,W,Basketball,Women,1954729,BKBWTEAM5---USA01,354
27.07.2024,2,F,USA,W,Swimming,Women's 4 x 100m Freestyle Relay,1935879,SWMW4X100MFRUSA01,356
2.08.2024,2,M,USA,O,Equestrian,Jumping Team,1951802,EQUOJUMPTEAMUSA01,361
27.07.2024,2,F,USA,W,Diving,Women's Synchronised 3m Springboard,1954168,DIVW3MTEAM2-USA01,362
11.08.2024,1,F,USA,W,Basketball,Women,1954730,BKBWTEAM5---USA01,364
1.08.2024,1,M,USA,M,Rowing,Men's Four,1944652,ROWMNOCOX4--USA01,370
11.08.2024,3,M,USA,M,Water Polo,Men,1908352,WPOMTEAM7---USA01,388
30.07.2024,2,M,USA,M,Swimming,Men's 4 x 200m Freestyle Relay,1935887,SWMM4X200MFRUSA01,390
10.08.2024,1,M,USA,M,Basketball,Men,1954698,BKBMTEAM5---USA01,391
7.08.2024,2,F,USA,O,Artistic Swimming,Team,1943040,SWAWTEAM8---USA01,395
11.08.2024,3,M,USA,M,Water Polo,Men,1908353,WPOMTEAM7---USA01,412
10.08.2024,1,F,USA,W,Football,Women,1943550,FBLWTEAM11--USA01,419
10.08.2024,1,M,USA,M,Basketball,Men,1954699,BKBMTEAM5---USA01,420
3.08.2024,2,M,USA,X,Athletics,4 x 400m Relay Mixed,1960590,ATHX4X400M--USA01,440
10.08.2024,1,M,USA,M,Athletics,Men's 4 x 400m Relay,1960590,ATHM4X400M--USA01,441
3.08.2024,3,M,USA,M,Rowing,Men's Eight,1944660,ROWMCOXED8--USA01,442
9.08.2024,3,M,USA,M,Volleyball,Men,1917993,VVOMTEAM6---USA01,445
11.08.2024,3,M,USA,M,Water Polo,Men,1908354,WPOMTEAM7---USA01,475
11.08.2024,3,M,USA,M,Water Polo,Men,1908355,WPOMTEAM7---USA01,476
27.07.2024,2,F,USA,W,Swimming,Women's 4 x 100m Freestyle Relay,1935895,SWMW4X100MFRUSA01,486
4.08.2024,1,F,USA,W,Swimming,Women's 4 x 100m Medley Relay,1935895,SWMW4X100MMDUSA01,487
30.07.2024,3,F,USA,W,Rugby Sevens,Women,1950487,RU7WTEAM7---USA01,488
27.07.2024,1,M,USA,M,Swimming,Men's 4 x 100m Freestyle Relay,1935896,SWMM4X100MFRUSA01,492
3.08.2024,1,M,USA,X,Swimming,Mixed 4 x 100m Medley Relay,1935896,SWMX4X100MMDUSA01,493
4.08.2024,2,M,USA,M,Swimming,Men's 4 x 100m Medley Relay,1935896,SWMM4X100MMDUSA01,494
11.08.2024,2,F,USA,W,Volleyball,Women,1917741,VVOWTEAM6---USA01,495
1.08.2024,1,F,USA,W,Fencing,Women's Foil Team,1950584,FENWTEAMFOILUSA01,498
10.08.2024,1,F,USA,W,Football,Women,1943588,FBLWTEAM11--USA01,507
10.08.2024,1,M,USA,M,Basketball,Men,1954700,BKBMTEAM5---USA01,510
7.08.2024,1,F,USA,W,Cycling Track,Women's Team Pursuit,1955079,CTRWPURTEAM4USA01,515
10.08.2024,1,M,USA,M,Basketball,Men,1954701,BKBMTEAM5---USA01,522
2.08.2024,3,M,USA,X,Archery,Mixed Team,1955595,ARCXTEAM2---USA01,533
10.08.2024,1,M,USA,M,Basketball,Men,1954683,BKBMTEAM5---USA01,538
7.08.2024,1,F,USA,W,Cycling Track,Women's Team Pursuit,1955081,CTRWPURTEAM4USA01,561
7.08.2024,2,F,USA,O,Artistic Swimming,Team,1943042,SWAWTEAM8---USA01,577
3.08.2024,1,M,USA,X,Swimming,Mixed 4 x 100m Medley Relay,1935901,SWMX4X100MMDUSA01,583
4.08.2024,2,M,USA,M,Swimming,Men's 4 x 100m Medley Relay,1935901,SWMM4X100MMDUSA01,584
30.07.2024,2,M,USA,M,Swimming,Men's 4 x 200m Freestyle Relay,1935903,SWMM4X200MFRUSA01,610
10.08.2024,1,F,USA,W,Football,Women,1943553,FBLWTEAM11--USA01,612
1.08.2024,2,F,USA,W,Swimming,Women's 4 x 200m Freestyle Relay,1935907,SWMW4X200MFRUSA01,655
10.08.2024,1,F,USA,W,Football,Women,1943555,FBLWTEAM11--USA01,669
1.08.2024,1,M,USA,M,Rowing,Men's Four,1944681,ROWMNOCOX4--USA01,687
11.08.2024,1,F,USA,W,Basketball,Women,1954734,BKBWTEAM5---USA01,695
11.08.2024,1,F,USA,W,Basketball,Women,1954735,BKBWTEAM5---USA01,704
27.07.2024,1,M,USA,M,Swimming,Men's 4 x 100m Freestyle Relay,1935911,SWMM4X100MFRUSA01,714
30.07.2024,2,M,USA,M,Swimming,Men's 4 x 200m Freestyle Relay,1935911,SWMM4X200MFRUSA01,715
10.08.2024,1,M,USA,M,Basketball,Men,1954705,BKBMTEAM5---USA01,733
11.08.2024,3,M,USA,M,Water Polo,Men,1908357,WPOMTEAM7---USA01,736
5.08.2024,3,F,USA,W,3x3 Basketball,Women,1954736,BK3WTEAM3---USA01,737
11.08.2024,2,F,USA,W,Volleyball,Women,1917746,VVOWTEAM6---USA01,739
10.08.2024,1,F,USA,W,Athletics,Women's 4 x 400m Relay,1961016,ATHW4X400M--USA01,770
4.08.2024,2,M,USA,M,Swimming,Men's 4 x 100m Medley Relay,1935915,SWMM4X100MMDUSA01,777
27.07.2024,1,M,USA,M,Swimming,Men's 4 x 100m Freestyle Relay,1935916,SWMM4X100MFRUSA01,779
30.07.2024,2,M,USA,M,Swimming,Men's 4 x 200m Freestyle Relay,1935918,SWMM4X200MFRUSA01,805
10.08.2024,1,M,USA,M,Basketball,Men,1954709,BKBMTEAM5---USA01,814
