team_code,coaches_codes
FENMTEAMSABREGY01,"['1937101', '1938447', '1940927']"
FENMTEAMSABRFRA01,"['1916242', '1916244', '1916268']"
FENMTEAMSABRHUN01,"['1946333', '1946381', '4967785']"
FENMTEAMSABRIRI01,"['1535569', '1541507']"
FENMTEAMSABRITA01,"['1924215', '1924227', '1924246']"
FENMTEAMSABRKOR01,"['1927337', '1927348', '1927360']"
FENMTEAMSABRUSA01,"['1951765', '1951771', '1951782']"
FENWTEAMEPEECHN01,"['1908671', '1908673', '1908691']"
FENWTEAMEPEEEGY01,"['1937256', '1937285', '1969609']"
FENWTEAMEPEEFRA01,"['1916244', '1916254', '1916255']"
FENWTEAMEPEEITA01,"['1559026', '1924221', '1924252']"
FENWTEAMEPEEKOR01,"['1927337', '1927348', '1927350']"
FENWTEAMEPEEPOL01,"['1932782', '1932787', '1947772']"
FENWTEAMEPEEUKR01,"['1897607', '1897608', '1897615']"
FENWTEAMEPEEUSA01,"['1951744', '1951752', '1951782']"
FENWTEAMFOILCAN01,"['1973249', '1973253']"
FENWTEAMFOILCHN01,"['1908666', '1908675', '1908678']"
FENWTEAMFOILEGY01,"['1937282', '1969633', '1977085']"
FENWTEAMFOILFRA01,"['1916244', '1916258', '1916259']"
FENWTEAMFOILITA01,"['1924214', '1924217', '1924246']"
FENWTEAMFOILJPN01,"['1896499', '1896507', '1896513']"
FENWTEAMFOILPOL01,"['1932778', '1932780', '1932782']"
FENWTEAMFOILUSA01,"['1951750', '1951757', '1951782']"
FENWTEAMSABRALG01,"['1969820', '1969961']"
FENWTEAMSABRFRA01,"['1916244', '1916265', '1916266']"
FENWTEAMSABRHUN01,"['1946333', '1946357', '1946447']"
FENWTEAMSABRITA01,"['1924215', '1924225', '1924252']"
FENWTEAMSABRJPN01,"['1896503', '1896505', '1896511']"
FENWTEAMSABRKOR01,"['1927337', '1927348', '1927352']"
FENWTEAMSABRUKR01,"['1897607', '1897609', '1897610']"
FENWTEAMSABRUSA01,"['1951755', '1951765', '1951782']"
GARMTEAM----CAN01,
GARMTEAM----CHN01,
GARMTEAM----ESP01,
GARMTEAM----GBR01,
GARMTEAM----GER01,
GARMTEAM----ITA01,
GARMTEAM----JPN01,
GARMTEAM----NED01,
GARMTEAM----SUI01,
GARMTEAM----TUR01,
GARMTEAM----UKR01,
GARMTEAM----USA01,
GARWTEAM----AUS01,
GARWTEAM----BRA01,
GARWTEAM----CAN01,
GARWTEAM----CHN01,
GARWTEAM----FRA01,
GARWTEAM----GBR01,
GARWTEAM----ITA01,
GARWTEAM----JPN01,
GARWTEAM----KOR01,
GARWTEAM----NED01,
GARWTEAM----ROU01,
GARWTEAM----USA01,
GRYW5AA-----AUS01,
GRYW5AA-----AZE01,
GRYW5AA-----BRA01,
GRYW5AA-----BUL01,
GRYW5AA-----CHN01,
GRYW5AA-----EGY01,
GRYW5AA-----ESP01,
GRYW5AA-----FRA01,
GRYW5AA-----GER01,
GRYW5AA-----ISR01,
GRYW5AA-----ITA01,
GRYW5AA-----MEX01,
GRYW5AA-----UKR01,
GRYW5AA-----UZB01,
HBLMTEAM7---ARG01,"['1540522', '1540527', '9230012', '9230013', '9230014']"
HBLMTEAM7---CRO01,"['1903368', '1903369', '1903371', '1903376', '1903379', '1903381']"
HBLMTEAM7---DEN01,"['1895269', '1895272', '1895275', '1895276', '1895277', '9230005']"
HBLMTEAM7---EGY01,"['1931488', '1931494', '1931502', '1931888', '4119106', '9230015']"
HBLMTEAM7---ESP01,"['1948320', '1948322', '1948332', '1948333', '9230017', '9230018']"
HBLMTEAM7---FRA01,"['1893216', '1893217', '1893221', '1893222', '1893223', '1893224']"
HBLMTEAM7---GER01,"['1899285', '1899288', '1899289', '1899291', '1899294', '1899299']"
HBLMTEAM7---HUN01,"['1932163', '1932174', '1932176', '1932190', '1932535']"
HBLMTEAM7---JPN01,"['1896559', '1896562', '1896570', '1963627', '1963628', '9230016']"
HBLMTEAM7---NOR01,"['1894612', '1894657', '1894659', '1894661', '1894715', '1935157']"
HBLMTEAM7---SLO01,"['1980954', '1981325', '1981664', '1981666', '1981689', '4646497']"
HBLMTEAM7---SWE01,"['1562557', '1562558', '1562563', '1562564', '1562566', '9230019']"
