athlete_code,name,gender,country_code,nationality,disciplines,birth_date
1909030,RASOVSZKY Kristof,M,HUN,Hungary,['Marathon Swimming'],27.03.1997
1909041,SARKANY Zalan,M,HUN,Hungary,['Swimming'],15.10.2003
1909042,PAN C.T,M,TPE,Chinese Taipei,['Golf'],12.11.1991
1909046,TEELUCK Anishta,F,MRI,Mauritius,['Swimming'],7.05.2001
1909049,SEBESTYEN Dalma,F,HUN,Hungary,['Swimming'],23.01.1997
1909050,EHRNROOTH Elisabet,F,FIN,Finland,['Equestrian'],2.05.1967
1909053,KANERVA Emma,F,FIN,Finland,['Equestrian'],13.07.1985
1909054,MANNINEN Veera,F,FIN,Finland,['Equestrian'],29.01.2000
1909056,ROBINSON Joanna,F,FIN,Finland,['Equestrian'],1.04.1989
1909057,RUOSTE Henri,M,FIN,Finland,['Equestrian'],18.02.1982
1909058,SILTAKORPI Sanna,F,FIN,Finland,['Equestrian'],22.05.1987
1909090,PUUMALAINEN Martti,M,FIN,Finland,['Judo'],14.04.1997
1909091,SAHA Luukas,M,FIN,Finland,['Judo'],7.07.1998
1909102,EKLUND Jakob,M,FIN,Finland,['Sailing'],4.08.1999
1909103,GRONBLOM Ronja,F,FIN,Finland,['Sailing'],28.02.2000
1909105,HOKKA Veera,F,FIN,Finland,['Sailing'],30.03.1998
1909106,KESKINEN Akseli,M,FIN,Finland,['Sailing'],21.07.1999
1909107,KURTBAY Sinem,F,FIN,Finland,['Sailing'],24.05.1991
1909110,MIKKOLA Monika,F,FIN,Finland,['Sailing'],6.07.1996
1909114,TAPPER Kaarle,M,FIN,Finland,['Sailing'],19.09.1995
1909116,ANTIKAINEN Noora,F,FIN,Finland,['Shooting'],14.09.1981
1909118,KALLIOINEN Eetu,M,FIN,Finland,['Shooting'],23.05.1998
