start_date,end_date,status,phase,gender,venue,event_code,url
2024-07-27 10:06:00,2024-07-27 10:12:00,FINISHED,Women -48 kg Elimination Round of 32,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/r32-000300--
2024-07-27 10:06:00,2024-07-27 10:12:00,FINISHED,Men -60 kg Elimination Round of 32,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/r32-000300--
2024-07-27 10:10:00,2024-07-27 10:50:00,FINISHED,Mixed Doubles Group Play Stage - Grp B,X,La Chapelle Arena,73,/en/paris-2024/results/badminton/mixed-doubles/gpb-000400--
2024-07-27 10:10:00,2024-07-27 10:50:00,FINISHED,Women's Doubles Group Play Stage - Grp A,W,La Chapelle Arena,72,/en/paris-2024/results/badminton/women-s-doubles/gpa-000300--
2024-07-27 10:10:00,2024-07-27 10:50:00,FINISHED,Men's Doubles Group Play Stage - Grp A,M,La Chapelle Arena,71,/en/paris-2024/results/badminton/men-s-doubles/gpa-000200--
2024-07-27 10:12:00,2024-07-27 10:18:00,FINISHED,Women -48 kg Elimination Round of 32,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/r32-000400--
2024-07-27 10:12:00,2024-07-27 10:18:00,FINISHED,Men -60 kg Elimination Round of 32,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/r32-000400--
2024-07-27 10:12:00,2024-07-27 11:19:00,FINISHED,Women's Single Sculls Heats,W,Nautical St - Flat water,194,/en/paris-2024/results/rowing/women-s-single-sculls/heat--------
2024-07-27 10:18:00,2024-07-27 10:24:00,FINISHED,Women -48 kg Elimination Round of 32,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/r32-000500--
2024-07-27 10:18:00,2024-07-27 10:24:00,FINISHED,Men -60 kg Elimination Round of 32,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/r32-000600--
2024-07-27 10:24:00,2024-07-27 10:30:00,FINISHED,Women -48 kg Elimination Round of 32,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/r32-000600--
2024-07-27 10:24:00,2024-07-27 10:30:00,FINISHED,Men -60 kg Elimination Round of 32,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/r32-000800--
2024-07-27 10:25:00,2024-07-27 10:50:00,FINISHED,Men's Sabre Individual Table of 64,M,Grand Palais,152,/en/paris-2024/results/fencing/men-s-sabre-individual/r64-000200--
2024-07-27 10:25:00,2024-07-27 10:50:00,FINISHED,Men's Sabre Individual Table of 64,M,Grand Palais,152,/en/paris-2024/results/fencing/men-s-sabre-individual/r64-003100--
2024-07-27 10:30:00,2024-07-27 12:00:00,FINISHED,Men's Pool B,M,Yves-du-Manoir Stadium,165,/en/paris-2024/results/hockey/men/gpb-000100--
2024-07-27 10:30:00,2024-07-27 10:36:00,FINISHED,Women -48 kg Elimination Round of 32,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/r32-000700--
2024-07-27 10:30:00,2024-07-27 10:36:00,FINISHED,Men -60 kg Elimination Round of 32,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/r32-001000--
2024-07-27 10:30:00,2024-07-27 11:45:00,FINISHED,10m Air Pistol Men's Qualification,M,Chateauroux Shooting Ctr,216,/en/paris-2024/results/shooting/10m-air-pistol-men/qual000100--
2024-07-27 10:30:00,2024-07-27 10:50:00,FINISHED,10m Air Rifle Mixed Team Final,X,Chateauroux Shooting Ctr,226,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000200--
2024-07-27 10:30:00,2024-07-27 10:50:00,FINISHED,10m Air Rifle Mixed Team Final,X,Chateauroux Shooting Ctr,226,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000100--
2024-07-27 10:36:00,2024-07-27 10:42:00,FINISHED,Women -48 kg Elimination Round of 32,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/r32-000800--
